R,Team,Left Side,Attempts from the middle,Right Side
1,Lazio,26%,54%,20%
2,AC Milan,22%,64%,14%
3,Roma,22%,60%,18%
4,Sampdoria,21%,63%,16%
5,Robur Siena,21%,61%,17%
6,Palermo FC,21%,58%,21%
7,Fiorentina,20%,64%,16%
8,Udinese,20%,60%,20%
9,Juventus,20%,67%,14%
10,Atalanta,20%,61%,19%
11,Bari,19%,57%,24%
12,Cagliari,19%,66%,15%
13,Parma Calcio 1913,19%,65%,17%
14,Genoa,19%,64%,18%
15,Inter,18%,62%,20%
16,Napoli,18%,62%,21%
17,Catania,16%,70%,15%
18,Bologna,15%,65%,20%
19,Livorno,15%,60%,25%
20,Chievo,13%,73%,14%
