Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,14.6,6.3,11.7,15.7,7.06
2. Werder Bremen,15.6,6.3,10.1,17.2,7.06
3. Bayer Leverkusen,15.8,6.3,9.5,17.8,6.99
4. Borussia Dortmund,14.5,5.8,8.3,14.3,6.98
5. Wolfsburg,14.3,5.4,9.5,14.2,6.95
6. Schalke 04,12.1,4.3,8.3,15.9,6.95
7. Hamburger SV,14.3,5.6,11.5,18.4,6.88
8. VfB Stuttgart,14.5,5.4,10.9,16.4,6.87
9. Hoffenheim,13.5,3.9,10.4,19.3,6.83
10. Mainz 05,10.1,3.7,7.1,16,6.80
11. Hertha Berlin,12.8,4.6,10,16.1,6.79
12. Eintracht Frankfurt,12.1,4.1,8.6,18.5,6.77
13. Borussia M.Gladbach,13.2,4.7,9.6,14.8,6.74
14. Nuernberg,12.5,3.9,9.3,16.1,6.74
15. FC Koln,9.5,3.3,7.2,16.1,6.73
16. Freiburg,11.7,3.7,7.3,14.1,6.68
17. Hannover 96,12.2,4.3,7.7,15.9,6.68
18. Bochum,10.8,3.2,7.4,16.4,6.65
