R,Team,Left Side,Attempts from the middle,Right Side
1,Werder Bremen,24%,55%,21%
2,Mainz 05,24%,58%,18%
3,Bayern Munich,23%,55%,23%
4,Hertha Berlin,23%,62%,16%
5,Nuernberg,23%,62%,15%
6,Hoffenheim,23%,62%,15%
7,Schalke 04,22%,60%,19%
8,Freiburg,22%,64%,14%
9,Hannover 96,22%,61%,17%
10,Wolfsburg,21%,58%,21%
11,Hamburger SV,21%,60%,19%
12,VfB Stuttgart,21%,56%,23%
13,Bochum,21%,61%,18%
14,Borussia M.Gladbach,21%,62%,17%
15,Eintracht Frankfurt,21%,63%,16%
16,Bayer Leverkusen,19%,61%,20%
17,Borussia Dortmund,19%,63%,17%
18,FC Koln,18%,67%,15%
