R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Hannover 96,38,4,16,4,5
2,Bochum,34,10,17,1,2
3,Borussia M.Gladbach,34,3,18,5,0
4,Freiburg,33,6,14,3,3
5,Eintracht Frankfurt,33,3,12,3,3
6,Hertha Berlin,32,6,13,4,1
7,Nuernberg,30,9,16,2,1
8,Mainz 05,28,3,9,1,1
9,Wolfsburg,25,9,20,3,1
10,VfB Stuttgart,23,5,10,3,0
11,Hamburger SV,23,4,12,2,0
12,Werder Bremen,23,7,9,1,0
13,Hoffenheim,23,7,9,3,0
14,Borussia Dortmund,20,4,17,0,1
15,Bayer Leverkusen,18,2,15,3,0
16,FC Koln,18,4,14,4,2
17,Bayern Munich,17,5,9,0,0
18,Schalke 04,16,2,11,1,1
