R,Team,Own Third,Middle Third,Opposition Third
1,FC Koln,31%,47%,23%
2,Mainz 05,30%,44%,24%
3,Hannover 96,29%,46%,26%
4,Borussia M.Gladbach,29%,46%,24%
5,Wolfsburg,28%,44%,28%
6,Bochum,28%,46%,26%
7,Hertha Berlin,28%,46%,26%
8,Freiburg,28%,44%,28%
9,Nuernberg,28%,45%,27%
10,Hamburger SV,27%,47%,27%
11,VfB Stuttgart,27%,46%,27%
12,Eintracht Frankfurt,27%,47%,25%
13,Borussia Dortmund,26%,47%,27%
14,Bayern Munich,25%,46%,29%
15,Bayer Leverkusen,24%,49%,28%
16,Schalke 04,24%,47%,30%
17,Werder Bremen,24%,45%,31%
18,Hoffenheim,24%,47%,30%
