Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Werder Bremen,15.6,5.7,1.2,8.6,7.06
2. Bayern Munich,14.6,5.9,1.3,7.4,7.06
3. Bayer Leverkusen,15.8,6.2,1,8.5,6.99
4. Borussia Dortmund,14.5,6,1.5,7,6.98
5. Wolfsburg,14.3,4.9,1.1,8.4,6.95
6. Schalke 04,12.1,4.2,1.4,6.4,6.95
7. Hamburger SV,14.3,6.3,0.6,7.4,6.88
8. VfB Stuttgart,14.5,6,1.1,7.3,6.87
9. Hoffenheim,13.5,6.3,0.6,6.6,6.83
10. Mainz 05,10.1,4.9,0.8,4.5,6.80
11. Hertha Berlin,12.8,5.5,0.8,6.6,6.79
12. Eintracht Frankfurt,12.1,5.9,0.9,5.4,6.77
13. Borussia M.Gladbach,13.2,6.2,0.6,6.4,6.74
14. Nuernberg,12.5,5.4,0.6,6.5,6.74
15. FC Koln,9.5,4.8,0.8,4,6.73
16. Hannover 96,12.2,5.9,0.5,5.9,6.68
17. Freiburg,11.7,5.1,1,5.7,6.68
18. Bochum,10.8,5.6,0.5,4.6,6.65
