R,Team,Fouls,Unprofessional,Dive,Other
1,Bochum,57,5,0,13
2,Bayer Leverkusen,56,2,0,14
3,VfB Stuttgart,53,4,0,17
4,Hoffenheim,52,5,0,12
5,FC Koln,51,2,1,21
6,Wolfsburg,48,2,0,12
7,Hannover 96,48,6,0,16
8,Schalke 04,46,0,1,15
9,Eintracht Frankfurt,46,6,0,18
10,Hertha Berlin,46,1,1,13
11,Mainz 05,46,8,1,9
12,Hamburger SV,43,4,0,12
13,Werder Bremen,42,3,0,10
14,Nuernberg,41,3,1,13
15,Freiburg,40,2,0,10
16,Borussia Dortmund,39,2,2,7
17,Bayern Munich,37,2,2,5
18,Borussia M.Gladbach,37,3,0,9
