R,Team,Left Side,Attempts from the middle,Right Side
1,Hamburger SV,27%,55%,18%
2,Nuernberg,27%,52%,22%
3,Wolfsburg,26%,59%,15%
4,Werder Bremen,25%,60%,15%
5,Borussia M.Gladbach,25%,58%,17%
6,Bochum,24%,57%,19%
7,Freiburg,23%,58%,20%
8,Schalke 04,22%,65%,13%
9,Hannover 96,22%,58%,20%
10,Hertha Berlin,21%,58%,21%
11,Mainz 05,21%,57%,22%
12,VfB Stuttgart,20%,62%,18%
13,Hoffenheim,19%,59%,22%
14,FC Koln,19%,61%,20%
15,Bayern Munich,18%,64%,18%
16,Bayer Leverkusen,17%,70%,13%
17,Eintracht Frankfurt,17%,68%,14%
18,Borussia Dortmund,15%,67%,18%
