R,Team,Left Side,Middle of the pitch,Right Side
1,Hamburger SV,40%,24%,36%
2,Werder Bremen,39%,26%,34%
3,VfB Stuttgart,38%,29%,33%
4,Freiburg,38%,27%,34%
5,Hoffenheim,38%,25%,38%
6,FC Koln,38%,28%,34%
7,Wolfsburg,37%,26%,37%
8,Borussia M.Gladbach,37%,27%,36%
9,Eintracht Frankfurt,37%,28%,35%
10,Nuernberg,37%,26%,37%
11,Bayern Munich,36%,28%,36%
12,Hertha Berlin,36%,28%,36%
13,Bochum,35%,26%,40%
14,Hannover 96,35%,26%,39%
15,Borussia Dortmund,34%,31%,35%
16,Mainz 05,34%,29%,37%
17,Schalke 04,33%,26%,41%
18,Bayer Leverkusen,32%,32%,36%
