R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,27,2,83,460
2,Bayer Leverkusen,19,2,69,413
3,Werder Bremen,30,1,56,393
4,Hamburger SV,20,2,72,392
5,VfB Stuttgart,21,2,65,380
6,Hoffenheim,21,2,69,378
7,Eintracht Frankfurt,21,2,66,372
8,Borussia Dortmund,20,2,66,359
9,Wolfsburg,27,2,69,357
10,Hertha Berlin,19,1,68,347
11,Hannover 96,20,2,66,337
12,Nuernberg,20,2,70,331
13,Borussia M.Gladbach,19,2,67,325
14,FC Koln,14,1,74,325
15,Schalke 04,24,2,83,318
16,Mainz 05,17,1,69,308
17,Freiburg,26,0,69,289
18,Bochum,20,1,64,282
