Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,11,20.9,13.5,15.1,3.7,7.06
2. Werder Bremen,10.5,20.5,17.1,16.4,4,7.06
3. Bayer Leverkusen,8.3,21.4,17.6,16.4,2.7,6.99
4. Borussia Dortmund,11.8,27.2,21,16,3,6.98
5. Wolfsburg,17.4,22.8,13.1,15.6,3.9,6.95
6. Schalke 04,10.6,21.9,14.7,21,2.6,6.95
7. Hamburger SV,12.6,20.3,15.5,18.3,3.7,6.88
8. VfB Stuttgart,12,18.6,15.9,16.4,2.5,6.87
9. Hoffenheim,10.5,23.4,19.5,18.4,3.5,6.83
10. Mainz 05,14.4,22.1,20.2,17.5,3.4,6.80
11. Hertha Berlin,13.6,22.1,16.4,14,2.9,6.79
12. Eintracht Frankfurt,13.6,19.4,16.1,17.8,2.9,6.77
13. Borussia M.Gladbach,16.9,22.6,15.7,16.7,3.4,6.74
14. Nuernberg,13.5,22.3,15.2,15.5,3.2,6.74
15. FC Koln,13.8,19.1,18,17.3,2.9,6.73
16. Freiburg,14.9,19.9,11.8,18,3.5,6.68
17. Hannover 96,12.8,20.1,17.5,18.1,2.4,6.68
18. Bochum,15.8,21.5,15.9,17,2.3,6.65
