Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Manchester City,18,6.8,11.5,7.9,7.09
2. Liverpool,15.1,5.9,9.4,9.1,7.01
3. Chelsea,16,5.2,11.8,11.2,6.89
4. Tottenham,14.1,5,9.7,9.6,6.86
5. Arsenal,12.3,4.5,8,12,6.79
6. Leicester,13.6,4.8,10.3,9.9,6.78
7. Crystal Palace,13,3.9,9.9,10.3,6.78
8. West Ham,11.6,4.1,10.2,10.2,6.77
9. Everton,13.1,4.4,8.7,11,6.77
10. Wolverhampton Wanderers,12.6,4,8.7,8.6,6.75
11. Newcastle United,11.7,3.7,6.2,8.7,6.74
12. Manchester United,13.8,5.9,8.4,10.4,6.74
13. Burnley,9.5,3.1,5.4,9.4,6.70
14. Southampton,12.7,4.3,7.6,9,6.68
15. Watford,11.5,4,7.7,10.1,6.68
16. Bournemouth,11.7,4.3,7.7,11.6,6.68
17. Cardiff,11,3.3,6.8,10.3,6.62
18. Brighton,9.8,2.8,7.1,7.9,6.61
19. Fulham,11.9,3.8,9.3,9,6.56
20. Huddersfield,10.6,3.1,6.1,9.7,6.47
