R,Team,Left Side,Middle of the pitch,Right Side
1,Crystal Palace,44%,24%,32%
2,Arsenal,42%,24%,34%
3,Manchester United,42%,26%,31%
4,Manchester City,42%,26%,33%
5,Southampton,41%,25%,33%
6,Brighton,41%,21%,38%
7,Burnley,41%,26%,33%
8,Leicester,39%,25%,36%
9,Newcastle United,39%,24%,37%
10,Chelsea,39%,27%,35%
11,Everton,39%,22%,40%
12,Bournemouth,38%,24%,38%
13,West Ham,37%,23%,39%
14,Huddersfield,37%,20%,42%
15,Tottenham,37%,27%,36%
16,Fulham,37%,28%,35%
17,Liverpool,36%,27%,37%
18,Wolverhampton Wanderers,36%,22%,42%
19,Cardiff,36%,26%,38%
20,Watford,35%,31%,34%
