R,Team,Fouls,Unprofessional,Dive,Other
1,Roma,75,8,0,23
2,Venezia,73,3,0,23
3,Verona,70,5,0,11
4,Sampdoria,70,2,0,12
5,Empoli,69,4,0,3
6,Sassuolo,68,3,0,12
7,Cagliari,67,4,0,17
8,Genoa,67,6,0,10
9,Torino,66,6,0,7
10,Salernitana,65,6,0,11
11,Bologna,59,6,0,21
12,Fiorentina,59,4,0,12
13,Atalanta,57,1,0,14
14,Spezia,56,7,0,19
15,Lazio,55,5,0,20
16,Udinese,50,12,0,23
17,Juventus,49,4,0,11
18,AC Milan,49,7,0,11
19,Inter,44,2,0,16
20,Napoli,41,3,0,14
