R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Salernitana,20,2,54,477
2,Venezia,21,1,57,464
3,Udinese,16,1,56,460
4,Genoa,17,1,62,442
5,Cagliari,18,2,56,440
6,Spezia,19,1,56,437
7,Sampdoria,20,1,56,423
8,Lazio,16,1,56,414
9,Bologna,18,1,55,390
10,Juventus,19,1,49,387
11,Roma,14,1,52,387
12,Empoli,19,1,63,379
13,Atalanta,13,1,63,375
14,Inter,14,1,52,354
15,Sassuolo,18,2,48,354
16,Napoli,14,1,50,352
17,Verona,18,1,64,344
18,AC Milan,14,1,53,344
19,Fiorentina,12,2,51,334
20,Torino,15,1,64,313
