R,Team,Left Side,Middle of the pitch,Right Side
1,Salernitana,40%,27%,33%
2,Spezia,40%,25%,34%
3,Verona,39%,22%,39%
4,Venezia,39%,25%,36%
5,Udinese,39%,26%,35%
6,Torino,38%,26%,36%
7,Inter,38%,28%,33%
8,Atalanta,38%,26%,36%
9,Genoa,37%,26%,37%
10,Lazio,36%,25%,38%
11,Fiorentina,36%,27%,36%
12,Juventus,36%,27%,37%
13,Napoli,36%,27%,37%
14,Sassuolo,36%,30%,34%
15,Bologna,35%,26%,39%
16,Cagliari,35%,25%,40%
17,AC Milan,35%,30%,35%
18,Sampdoria,34%,27%,40%
19,Roma,34%,29%,37%
20,Empoli,34%,24%,42%
