Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Inter,17.1,5.1,1.5,10.5,6.82
2. AC Milan,15.6,6.2,0.8,8.6,6.79
3. Juventus,14.5,5.3,1.1,8.1,6.75
4. Napoli,15.4,6.2,1.2,8,6.75
5. Atalanta,15,4.8,1,9.2,6.72
6. Roma,15.4,5.3,1.8,8.3,6.72
7. Lazio,11.3,4,0.9,6.3,6.69
8. Torino,12.8,4.6,1.2,7.1,6.64
9. Sassuolo,15,6.3,0.8,7.8,6.61
10. Verona,12.3,4.1,1.1,7.2,6.61
11. Fiorentina,13.8,4.5,1.1,8.2,6.60
12. Bologna,11.6,5.2,0.6,5.8,6.57
13. Udinese,13.1,4.8,0.8,7.4,6.55
14. Sampdoria,10.5,3.8,0.8,6,6.53
15. Empoli,13.4,5,0.9,7.5,6.52
16. Spezia,10.2,4.3,0.7,5.3,6.50
17. Cagliari,10.6,3.9,0.9,5.8,6.48
18. Genoa,10,4.4,0.4,5.2,6.47
19. Venezia,9.3,3.7,1,4.7,6.43
20. Salernitana,10.2,4.2,0.7,5.3,6.38
