R,Team,Left Side,Attempts from the middle,Right Side
1,Saint-Etienne,24%,55%,21%
2,Lorient,24%,54%,21%
3,Reims,23%,62%,14%
4,Montpellier,21%,60%,19%
5,Troyes,21%,66%,13%
6,Angers,21%,65%,15%
7,Brest,20%,67%,13%
8,Monaco,19%,67%,15%
9,Nantes,19%,65%,16%
10,Lens,19%,65%,17%
11,Paris Saint-Germain,18%,68%,14%
12,Lille,18%,65%,17%
13,Bordeaux,18%,61%,21%
14,Clermont Foot,18%,62%,20%
15,Lyon,16%,70%,14%
16,Marseille,16%,67%,17%
17,Metz,16%,64%,20%
18,Rennes,15%,70%,15%
19,Nice,14%,69%,17%
20,Strasbourg,13%,76%,11%
