R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,56,4,8,5,2
2,Rennes,45,5,15,4,1
3,Lens,38,1,7,4,2
4,Monaco,36,2,4,8,1
5,Lyon,34,2,6,8,1
6,Strasbourg,33,0,13,6,3
7,Marseille,31,3,9,10,2
8,Nantes,27,2,9,4,1
9,Bordeaux,27,3,10,2,2
10,Montpellier,26,5,10,2,1
11,Lille,25,0,9,4,3
12,Nice,25,2,8,7,0
13,Brest,24,2,8,7,1
14,Lorient,22,1,7,3,0
15,Clermont Foot,21,1,8,1,2
16,Saint-Etienne,19,1,12,4,1
17,Reims,19,1,11,4,1
18,Troyes,18,1,7,2,2
19,Angers,17,1,7,8,3
20,Metz,14,2,10,1,2
