Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,14.3,5.4,13,10.7,6.89
2. Rennes,14.8,5.5,7.6,9.7,6.77
3. Lyon,13.9,5.2,12.9,11.3,6.76
4. Strasbourg,12.7,4.2,7.4,10.7,6.74
5. Marseille,13.4,4.4,8.5,11.6,6.71
6. Nice,11.3,3.9,10.3,9.8,6.70
7. Monaco,11.5,4.1,10.1,10.9,6.68
8. Lens,12.8,4.9,9,9.2,6.66
9. Nantes,10.9,4,8.7,9.8,6.64
10. Brest,10.6,3.9,8.4,10.6,6.64
11. Lille,12.4,4.2,8.7,11.6,6.63
12. Montpellier,11.3,4.3,8.5,12.4,6.60
13. Reims,10.4,3.8,8.7,12.2,6.60
14. Lorient,11.4,4,8.4,11.3,6.54
15. Angers,10,3.3,10.8,11.9,6.53
16. Troyes,10.5,3.4,8.4,12.3,6.51
17. Metz,9.6,3,8.5,11,6.51
18. Saint-Etienne,11.6,3.9,10.8,11.8,6.49
19. Clermont Foot,11.2,3.5,8.4,12.6,6.46
20. Bordeaux,11.8,4,9.6,10.2,6.43
