R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Brest,18,1,51,481
2,Nantes,17,1,52,468
3,Lorient,19,1,52,467
4,Reims,21,1,57,465
5,Troyes,18,2,55,457
6,Metz,21,2,52,457
7,Angers,19,1,59,435
8,Clermont Foot,16,1,54,429
9,Bordeaux,18,1,52,422
10,Lens,16,1,54,421
11,Nice,18,1,56,414
12,Strasbourg,16,1,60,411
13,Montpellier,21,1,54,400
14,Saint-Etienne,16,2,56,397
15,Lille,18,1,56,388
16,Monaco,14,1,59,362
17,Lyon,16,1,51,346
18,Rennes,19,1,57,345
19,Paris Saint-Germain,15,1,46,341
20,Marseille,13,2,47,330
