Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,75,14.3,654,62.9,90.6,7.2,6.89
2. Rennes,70,14.8,481,55.8,84.0,14.5,6.77
3. Lyon,51,13.9,535,59.5,86.1,13.3,6.76
4. Strasbourg,55,12.7,603,49.0,80.4,18.2,6.74
5. Marseille,55,13.4,533,61.6,88.4,9.6,6.71
6. Nice,42,11.3,686,50.3,83.6,13.9,6.70
7. Monaco,51,11.5,674,55.1,81.7,14.4,6.68
8. Lens,52,12.8,655,50.8,83.8,12.3,6.66
9. Nantes,43,10.9,664,43.0,78.2,15.9,6.64
10. Brest,42,10.6,541,42.9,78.3,16.7,6.64
11. Lille,41,12.4,794,50.8,81.7,13.9,6.63
12. Montpellier,44,11.3,559,48.3,80.3,12.2,6.60
13. Reims,36,10.4,587,41.8,78.0,11.6,6.60
14. Lorient,33,11.4,544,43.6,79.2,12.1,6.54
15. Angers,36,10,573,48.1,83.6,11.1,6.53
16. Troyes,30,10.5,635,44.5,79.7,11.8,6.51
17. Metz,29,9.6,776,42.7,78.8,14.1,6.51
18. Saint-Etienne,37,11.6,695,49.0,79.8,12.3,6.49
19. Clermont Foot,33,11.2,537,49.8,82.4,11.7,6.46
20. Bordeaux,44,11.8,774,46.9,80.0,12.7,6.43
