R,Team,Fouls,Unprofessional,Dive,Other
1,Bordeaux,63,4,0,16
2,Metz,57,5,0,22
3,Nantes,57,5,0,10
4,Monaco,56,1,0,17
5,Reims,52,0,0,17
6,Saint-Etienne,51,5,0,19
7,Lorient,51,2,0,8
8,Troyes,51,1,0,19
9,Montpellier,50,4,0,14
10,Strasbourg,49,2,0,13
11,Lens,49,4,0,17
12,Angers,47,2,0,13
13,Lille,47,4,0,34
14,Nice,47,8,0,21
15,Lyon,44,4,0,12
16,Brest,44,1,0,10
17,Paris Saint-Germain,43,4,0,23
18,Clermont Foot,43,1,0,18
19,Rennes,39,3,0,8
20,Marseille,35,3,0,19
