Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Freiburg,6.85,13.3,21.8,23.8,17.0,2.7,6.85,0.33,0.28,0.39,0.26,0.46,0.29,Bundesliga,2011
Hamburger SV,6.84,14.5,22.6,20.7,17.4,3.4,6.84,0.4,0.27,0.33,0.26,0.46,0.27,Bundesliga,2011
Wolfsburg,6.82,12.1,24.4,18.6,19.9,2.2,6.82,0.36,0.25,0.39,0.25,0.44,0.32,Bundesliga,2011
Hoffenheim,6.82,12.4,26.4,20.0,19.0,3.4,6.82,0.37,0.26,0.38,0.26,0.48,0.27,Bundesliga,2011
Augsburg,6.82,14.1,22.7,22.4,16.6,2.9,6.82,0.38,0.28,0.34,0.27,0.45,0.27,Bundesliga,2011
Hannover 96,6.8,13.6,19.9,20.9,16.2,2.9,6.8,0.34,0.2,0.45,0.28,0.45,0.27,Bundesliga,2011
Nuernberg,6.79,11.0,22.2,21.9,17.2,3.3,6.79,0.37,0.24,0.39,0.26,0.46,0.28,Bundesliga,2011
Hertha Berlin,6.78,14.8,23.6,23.1,15.2,3.3,6.78,0.36,0.27,0.37,0.27,0.48,0.25,Bundesliga,2011
Kaiserslautern,6.64,14.3,21.9,18.1,17.7,3.2,6.64,0.36,0.25,0.39,0.29,0.46,0.26,Bundesliga,2011
FC Koln,6.64,15.5,21.6,21.4,15.5,3.1,6.64,0.38,0.25,0.37,0.3,0.48,0.23,Bundesliga,2011
Bayern Munich,7.31,8.2,18.1,14.4,13.0,3.5,7.31,0.35,0.26,0.39,0.23,0.46,0.32,Bundesliga,2012
Bayer Leverkusen,7.12,12.2,22.9,21.1,15.3,2.9,7.12,0.3,0.29,0.41,0.26,0.47,0.27,Bundesliga,2012
Borussia Dortmund,7.1,9.7,25.4,16.9,13.4,2.8,7.1,0.33,0.31,0.36,0.23,0.48,0.29,Bundesliga,2012
Freiburg,7.03,12.2,20.4,21.3,15.2,2.7,7.03,0.41,0.25,0.34,0.26,0.44,0.3,Bundesliga,2012
Schalke 04,6.95,11.2,24.3,20.8,14.8,1.9,6.95,0.29,0.29,0.42,0.24,0.48,0.28,Bundesliga,2012
Wolfsburg,6.93,12.4,24.1,19.7,17.5,2.9,6.93,0.34,0.27,0.39,0.28,0.46,0.27,Bundesliga,2012
Hamburger SV,6.91,15.3,22.6,21.7,17.7,2.9,6.91,0.41,0.25,0.34,0.27,0.47,0.25,Bundesliga,2012
Eintracht Frankfurt,6.9,12.8,21.3,18.1,15.4,3.5,6.9,0.34,0.26,0.4,0.27,0.46,0.28,Bundesliga,2012
Mainz 05,6.9,12.1,23.7,19.9,15.1,3.5,6.9,0.36,0.31,0.33,0.28,0.46,0.26,Bundesliga,2012
Borussia M.Gladbach,6.86,15.3,20.0,15.5,13.4,2.7,6.86,0.38,0.25,0.36,0.3,0.47,0.22,Bundesliga,2012
Werder Bremen,6.85,11.7,24.1,19.8,16.1,1.7,6.85,0.35,0.25,0.4,0.26,0.45,0.28,Bundesliga,2012
Nuernberg,6.82,13.4,21.7,15.7,17.1,1.8,6.82,0.37,0.24,0.39,0.28,0.46,0.26,Bundesliga,2012
VfB Stuttgart,6.81,14.7,25.8,20.9,16.5,3.0,6.81,0.39,0.23,0.39,0.28,0.46,0.26,Bundesliga,2012
