Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Hannover 96,6.57,16.7,17.1,13.5,12.4,1.7,6.57,0.36,0.26,0.38,0.3,0.47,0.24,Bundesliga,2018
Nuernberg,6.49,15.3,16.2,10.4,11.6,1.6,6.49,0.34,0.27,0.38,0.31,0.46,0.22,Bundesliga,2018
Bayern Munich,7.15,9.3,14.7,10.0,9.5,2.3,7.15,0.37,0.26,0.37,0.23,0.43,0.34,Bundesliga,2019
Borussia Dortmund,6.97,10.4,15.6,11.0,9.0,1.6,6.97,0.39,0.22,0.39,0.25,0.46,0.28,Bundesliga,2019
RB Leipzig,6.95,10.3,18.1,10.7,11.0,2.3,6.95,0.36,0.27,0.37,0.25,0.45,0.29,Bundesliga,2019
Borussia M.Gladbach,6.85,13.7,16.2,11.2,12.5,2.7,6.85,0.37,0.26,0.37,0.28,0.44,0.28,Bundesliga,2019
Bayer Leverkusen,6.84,11.1,16.4,9.8,11.6,2.7,6.84,0.33,0.26,0.41,0.25,0.48,0.27,Bundesliga,2019
Eintracht Frankfurt,6.74,13.0,17.5,11.0,12.5,1.7,6.74,0.39,0.27,0.34,0.26,0.44,0.3,Bundesliga,2019
Wolfsburg,6.73,11.2,17.6,11.1,14.4,2.1,6.73,0.35,0.26,0.39,0.26,0.44,0.29,Bundesliga,2019
Hoffenheim,6.72,14.7,15.6,10.3,11.3,1.8,6.72,0.34,0.26,0.4,0.31,0.44,0.25,Bundesliga,2019
Freiburg,6.7,17.8,12.7,10.4,9.7,1.6,6.7,0.35,0.27,0.38,0.31,0.43,0.26,Bundesliga,2019
Hertha Berlin,6.69,14.2,16.3,12.1,13.7,1.7,6.69,0.36,0.26,0.37,0.29,0.47,0.25,Bundesliga,2019
FC Koln,6.65,13.3,17.9,12.8,14.3,2.2,6.65,0.35,0.28,0.37,0.29,0.44,0.27,Bundesliga,2019
Union Berlin,6.65,14.5,16.2,12.4,15.4,1.9,6.65,0.4,0.24,0.37,0.27,0.45,0.28,Bundesliga,2019
Schalke 04,6.63,13.7,17.3,12.0,11.8,2.4,6.63,0.36,0.23,0.41,0.28,0.45,0.28,Bundesliga,2019
Mainz 05,6.63,14.9,16.9,10.7,13.6,2.1,6.63,0.36,0.3,0.34,0.28,0.43,0.28,Bundesliga,2019
Werder Bremen,6.57,14.7,16.2,12.4,13.6,1.6,6.57,0.33,0.29,0.38,0.28,0.46,0.25,Bundesliga,2019
Augsburg,6.57,14.0,15.7,12.8,11.1,2.4,6.57,0.39,0.23,0.38,0.3,0.45,0.26,Bundesliga,2019
Paderborn,6.52,14.6,18.6,10.7,12.5,1.8,6.52,0.45,0.22,0.33,0.31,0.41,0.27,Bundesliga,2019
Fortuna Duesseldorf,6.52,13.8,14.6,11.0,12.0,1.6,6.52,0.34,0.23,0.43,0.28,0.45,0.27,Bundesliga,2019
Bayern Munich,6.95,10.1,15.0,11.7,9.3,2.2,6.95,0.39,0.26,0.36,0.23,0.42,0.35,Bundesliga,2020
Borussia Dortmund,6.84,11.1,15.2,12.1,10.6,2.0,6.84,0.38,0.24,0.38,0.25,0.45,0.3,Bundesliga,2020
Wolfsburg,6.8,10.5,17.5,14.0,13.0,2.3,6.8,0.34,0.28,0.38,0.26,0.44,0.29,Bundesliga,2020
RB Leipzig,6.78,7.8,13.5,10.4,12.8,2.4,6.78,0.38,0.29,0.34,0.23,0.47,0.31,Bundesliga,2020
Bayer Leverkusen,6.73,10.2,14.7,9.5,12.7,2.1,6.73,0.33,0.28,0.39,0.25,0.46,0.29,Bundesliga,2020
Eintracht Frankfurt,6.73,12.8,17.5,12.6,13.5,2.0,6.73,0.38,0.28,0.34,0.26,0.45,0.29,Bundesliga,2020
Borussia M.Gladbach,6.7,13.4,14.8,12.8,11.6,2.4,6.7,0.34,0.29,0.37,0.27,0.46,0.27,Bundesliga,2020
VfB Stuttgart,6.68,13.4,14.6,12.5,12.4,1.6,6.68,0.37,0.28,0.35,0.28,0.44,0.28,Bundesliga,2020
Hoffenheim,6.63,11.2,14.9,12.7,13.0,1.4,6.63,0.35,0.25,0.39,0.27,0.44,0.28,Bundesliga,2020
Union Berlin,6.62,10.8,14.8,11.9,12.8,2.5,6.62,0.42,0.24,0.34,0.27,0.48,0.25,Bundesliga,2020
Freiburg,6.6,14.8,12.7,13.3,12.9,1.6,6.6,0.35,0.27,0.38,0.29,0.43,0.28,Bundesliga,2020
Hertha Berlin,6.58,12.6,14.3,12.3,13.8,2.3,6.58,0.38,0.25,0.37,0.29,0.45,0.25,Bundesliga,2020
Mainz 05,6.57,13.3,17.4,14.7,14.7,1.7,6.57,0.38,0.28,0.35,0.28,0.44,0.28,Bundesliga,2020
Augsburg,6.56,14.4,15.0,13.4,11.6,2.0,6.56,0.36,0.24,0.4,0.31,0.45,0.24,Bundesliga,2020
Arminia Bielefeld,6.53,13.2,16.2,12.3,11.5,1.4,6.53,0.33,0.28,0.4,0.3,0.44,0.26,Bundesliga,2020
Werder Bremen,6.52,13.5,15.9,12.0,11.6,2.0,6.52,0.34,0.28,0.38,0.3,0.47,0.23,Bundesliga,2020
FC Koln,6.51,12.3,17.2,12.6,12.4,1.7,6.51,0.37,0.23,0.41,0.3,0.45,0.25,Bundesliga,2020
Schalke 04,6.41,17.3,16.2,12.1,12.2,2.0,6.41,0.38,0.27,0.35,0.32,0.46,0.23,Bundesliga,2020
Bayern Munich,7.02,8.8,16.2,10.1,8.8,2.3,7.02,0.33,0.31,0.36,0.24,0.43,0.33,Bundesliga,2021
Borussia Dortmund,6.79,11.1,16.1,10.1,10.6,2.1,6.79,0.38,0.26,0.36,0.27,0.45,0.28,Bundesliga,2021
RB Leipzig,6.79,10.5,15.0,10.6,10.4,2.0,6.79,0.41,0.27,0.31,0.26,0.46,0.29,Bundesliga,2021
Bayer Leverkusen,6.76,13.8,14.4,10.6,11.0,1.8,6.76,0.36,0.27,0.37,0.29,0.45,0.25,Bundesliga,2021
Freiburg,6.71,14.4,15.5,10.2,11.7,1.8,6.71,0.37,0.28,0.35,0.28,0.42,0.29,Bundesliga,2021
Borussia M.Gladbach,6.65,13.9,17.2,10.0,10.7,2.3,6.65,0.3,0.31,0.39,0.28,0.46,0.26,Bundesliga,2021
Mainz 05,6.65,11.3,17.2,13.3,15.0,1.9,6.65,0.35,0.27,0.38,0.27,0.44,0.3,Bundesliga,2021
FC Koln,6.65,12.5,17.2,13.3,12.5,1.9,6.65,0.37,0.24,0.39,0.29,0.42,0.29,Bundesliga,2021
Eintracht Frankfurt,6.62,12.9,17.8,10.9,12.9,1.5,6.62,0.39,0.28,0.34,0.27,0.44,0.28,Bundesliga,2021
Hoffenheim,6.62,12.1,14.1,8.3,12.7,2.0,6.62,0.37,0.25,0.39,0.27,0.42,0.3,Bundesliga,2021
VfB Stuttgart,6.6,14.8,16.3,9.9,11.1,1.6,6.6,0.4,0.27,0.32,0.29,0.45,0.26,Bundesliga,2021
Union Berlin,6.6,12.0,15.1,11.6,12.4,2.0,6.6,0.4,0.25,0.35,0.26,0.46,0.26,Bundesliga,2021
Wolfsburg,6.59,12.5,15.4,11.7,12.4,2.3,6.59,0.35,0.27,0.37,0.3,0.45,0.26,Bundesliga,2021
Bochum,6.59,14.0,16.9,13.1,12.7,2.2,6.59,0.43,0.25,0.33,0.3,0.42,0.28,Bundesliga,2021
Augsburg,6.52,14.4,16.5,10.7,12.7,2.3,6.52,0.35,0.24,0.41,0.29,0.43,0.28,Bundesliga,2021
Arminia Bielefeld,6.5,15.4,16.0,12.8,12.7,1.5,6.5,0.36,0.27,0.38,0.29,0.43,0.28,Bundesliga,2021
Hertha Berlin,6.47,14.2,15.5,12.0,12.1,2.2,6.47,0.38,0.26,0.36,0.31,0.46,0.23,Bundesliga,2021
Greuther Fuerth,6.4,15.9,16.9,11.4,12.8,2.1,6.4,0.37,0.21,0.42,0.29,0.45,0.26,Bundesliga,2021
Chelsea,7.3,9.8,20.3,18.6,12.4,2.5,7.3,0.36,0.33,0.31,0.25,0.44,0.32,EPL,2009
Tottenham,7.19,13.7,22.2,21.2,12.2,3.1,7.19,0.36,0.3,0.34,0.28,0.43,0.28,EPL,2009
Manchester United,7.19,10.9,21.8,15.8,11.7,2.2,7.19,0.34,0.3,0.36,0.25,0.43,0.32,EPL,2009
Arsenal,7.17,10.1,21.5,22.1,12.4,2.4,7.17,0.32,0.3,0.38,0.25,0.44,0.31,EPL,2009
Aston Villa,7.06,16.0,23.2,18.2,13.4,2.1,7.06,0.4,0.26,0.35,0.3,0.42,0.29,EPL,2009
Manchester City,7.06,13.5,21.1,21.2,11.9,3.2,7.06,0.39,0.25,0.36,0.28,0.44,0.27,EPL,2009
Liverpool,7.04,10.2,25.2,20.1,12.2,1.6,7.04,0.31,0.26,0.43,0.27,0.41,0.32,EPL,2009
Everton,7.0,13.3,20.2,21.8,13.4,2.5,7.0,0.37,0.3,0.33,0.29,0.41,0.3,EPL,2009
Birmingham,6.91,17.3,20.7,20.4,11.9,2.6,6.91,0.36,0.26,0.38,0.31,0.4,0.29,EPL,2009
Sunderland,6.89,16.3,23.4,21.8,14.6,2.4,6.89,0.36,0.29,0.35,0.3,0.42,0.28,EPL,2009
West Ham,6.88,15.9,21.8,19.9,14.2,2.4,6.88,0.33,0.32,0.34,0.31,0.43,0.26,EPL,2009
Fulham,6.86,14.6,19.6,19.8,12.3,2.4,6.86,0.28,0.3,0.42,0.31,0.43,0.26,EPL,2009
Bolton,6.85,16.2,24.0,19.3,14.8,1.5,6.85,0.32,0.33,0.35,0.31,0.4,0.31,EPL,2009
Stoke,6.82,15.3,19.1,19.4,13.0,2.3,6.82,0.36,0.29,0.35,0.31,0.41,0.29,EPL,2009
Wigan,6.81,14.3,23.9,19.6,13.4,1.3,6.81,0.34,0.29,0.37,0.29,0.43,0.27,EPL,2009
Blackburn,6.8,13.4,18.7,19.2,14.8,3.3,6.8,0.38,0.32,0.3,0.3,0.39,0.31,EPL,2009
Portsmouth,6.72,15.4,20.4,17.9,13.5,2.4,6.72,0.32,0.3,0.38,0.32,0.4,0.28,EPL,2009
Wolverhampton Wanderers,6.71,15.5,18.6,14.1,13.8,1.7,6.71,0.37,0.27,0.36,0.3,0.39,0.31,EPL,2009
Burnley,6.67,16.7,18.1,17.4,12.1,1.7,6.67,0.31,0.25,0.44,0.29,0.41,0.28,EPL,2009
Hull,6.64,17.3,20.0,17.7,14.7,2.3,6.64,0.33,0.3,0.37,0.31,0.42,0.28,EPL,2009
Chelsea,7.05,11.6,20.2,16.2,11.6,3.0,7.05,0.38,0.31,0.31,0.26,0.43,0.31,EPL,2010
Manchester United,7.03,12.1,18.2,17.0,11.1,2.7,7.03,0.35,0.29,0.36,0.28,0.44,0.3,EPL,2010
Arsenal,7.02,10.6,20.3,18.7,11.9,2.4,7.02,0.31,0.34,0.35,0.25,0.44,0.32,EPL,2010
Tottenham,6.98,14.9,19.8,17.4,10.5,1.6,6.98,0.39,0.3,0.31,0.3,0.43,0.28,EPL,2010
Manchester City,6.98,13.5,21.7,16.6,12.8,2.7,6.98,0.37,0.27,0.37,0.28,0.45,0.27,EPL,2010
Liverpool,6.9,12.9,23.9,15.6,12.1,2.3,6.9,0.31,0.27,0.41,0.3,0.42,0.28,EPL,2010
Fulham,6.9,14.0,21.0,17.6,12.8,2.6,6.9,0.3,0.35,0.36,0.27,0.45,0.28,EPL,2010
Bolton,6.88,15.8,24.7,16.5,13.5,1.5,6.88,0.32,0.32,0.36,0.29,0.4,0.31,EPL,2010
Sunderland,6.83,14.4,21.6,18.3,11.6,2.6,6.83,0.31,0.28,0.41,0.29,0.43,0.29,EPL,2010
Aston Villa,6.82,15.8,22.2,17.6,12.3,2.4,6.82,0.35,0.27,0.38,0.3,0.44,0.27,EPL,2010
Everton,6.81,13.3,20.2,12.4,13.1,2.1,6.81,0.39,0.27,0.34,0.27,0.4,0.33,EPL,2010
Wigan,6.8,13.3,24.1,20.1,13.1,1.9,6.8,0.37,0.28,0.35,0.31,0.43,0.26,EPL,2010
Newcastle United,6.79,13.3,17.5,16.0,12.4,2.2,6.79,0.38,0.32,0.3,0.28,0.42,0.3,EPL,2010
West Ham,6.76,18.3,20.6,15.3,12.1,3.2,6.76,0.34,0.31,0.35,0.32,0.42,0.27,EPL,2010
Stoke,6.75,14.4,18.8,14.0,11.6,1.9,6.75,0.34,0.32,0.34,0.29,0.42,0.3,EPL,2010
Blackburn,6.74,16.2,19.7,19.3,13.1,2.3,6.74,0.4,0.31,0.3,0.31,0.39,0.29,EPL,2010
Blackpool,6.73,19.4,20.5,11.9,11.6,2.6,6.73,0.36,0.32,0.32,0.33,0.4,0.27,EPL,2010
West Bromwich Albion,6.7,14.0,19.1,17.4,11.3,2.7,6.7,0.38,0.27,0.35,0.3,0.42,0.28,EPL,2010
Birmingham,6.68,18.1,17.6,15.1,11.4,2.4,6.68,0.35,0.27,0.38,0.32,0.4,0.28,EPL,2010
Wolverhampton Wanderers,6.65,15.0,17.8,13.7,12.6,2.4,6.65,0.4,0.25,0.35,0.29,0.39,0.32,EPL,2010
Manchester United,7.15,13.3,21.1,15.1,10.2,2.3,7.15,0.32,0.3,0.39,0.26,0.44,0.3,EPL,2011
Manchester City,7.12,10.4,18.3,16.6,11.3,2.2,7.12,0.36,0.29,0.35,0.23,0.45,0.31,EPL,2011
Tottenham,7.04,12.2,19.3,18.8,9.9,2.4,7.04,0.38,0.28,0.34,0.27,0.44,0.28,EPL,2011
Arsenal,6.94,10.3,19.7,15.9,10.7,2.3,6.94,0.3,0.31,0.38,0.26,0.44,0.3,EPL,2011
Chelsea,6.9,11.8,18.4,16.7,11.3,1.8,6.9,0.38,0.29,0.34,0.27,0.44,0.3,EPL,2011
Fulham,6.83,15.4,17.6,16.9,9.9,2.2,6.83,0.27,0.38,0.34,0.29,0.45,0.26,EPL,2011
Liverpool,6.82,11.1,19.1,13.3,10.6,3.4,6.82,0.37,0.28,0.36,0.26,0.41,0.32,EPL,2011
Sunderland,6.81,16.2,21.7,17.2,10.8,2.0,6.81,0.34,0.28,0.38,0.29,0.45,0.26,EPL,2011
Swansea,6.8,15.7,18.6,15.3,8.4,1.8,6.8,0.31,0.26,0.42,0.31,0.46,0.22,EPL,2011
Newcastle United,6.78,14.3,19.6,16.3,10.8,2.6,6.78,0.34,0.31,0.35,0.29,0.45,0.26,EPL,2011
Aston Villa,6.77,15.2,20.4,19.5,10.9,2.2,6.77,0.38,0.28,0.34,0.29,0.43,0.28,EPL,2011
Everton,6.75,12.4,16.4,16.3,12.7,3.1,6.75,0.39,0.26,0.35,0.27,0.42,0.31,EPL,2011
West Bromwich Albion,6.73,15.5,18.0,14.6,11.1,3.4,6.73,0.37,0.29,0.34,0.29,0.43,0.29,EPL,2011
Queens Park Rangers,6.71,16.5,20.1,14.4,10.8,2.2,6.71,0.3,0.32,0.38,0.3,0.41,0.28,EPL,2011
Bolton,6.68,17.3,19.2,18.6,12.2,1.4,6.68,0.33,0.3,0.37,0.29,0.42,0.29,EPL,2011
Norwich,6.67,16.2,18.2,12.3,10.7,1.9,6.67,0.37,0.29,0.34,0.29,0.43,0.28,EPL,2011
Wigan,6.66,14.7,19.2,15.2,12.8,1.9,6.66,0.42,0.27,0.31,0.29,0.44,0.27,EPL,2011
Stoke,6.65,14.2,17.2,12.1,11.9,1.6,6.65,0.32,0.26,0.42,0.29,0.43,0.28,EPL,2011
Blackburn,6.63,16.2,18.2,18.9,12.1,1.6,6.63,0.38,0.33,0.28,0.33,0.41,0.26,EPL,2011
Wolverhampton Wanderers,6.58,17.6,16.2,15.7,9.9,2.2,6.58,0.42,0.26,0.32,0.29,0.42,0.28,EPL,2011
Arsenal,7.03,10.6,19.7,16.7,10.1,2.1,7.03,0.34,0.28,0.37,0.24,0.45,0.31,EPL,2012
Manchester United,7.03,12.8,19.2,13.6,9.9,2.5,7.03,0.32,0.28,0.4,0.27,0.45,0.28,EPL,2012
Liverpool,6.99,11.4,20.9,13.8,10.6,2.9,6.99,0.35,0.28,0.37,0.27,0.44,0.3,EPL,2012
Tottenham,6.98,9.7,19.6,19.0,10.3,2.0,6.98,0.37,0.28,0.34,0.26,0.46,0.28,EPL,2012
Chelsea,6.96,12.2,18.7,13.2,10.5,2.1,6.96,0.33,0.31,0.36,0.26,0.43,0.31,EPL,2012
Manchester City,6.96,10.4,17.9,12.9,12.4,2.0,6.96,0.37,0.27,0.36,0.24,0.44,0.31,EPL,2012
Everton,6.93,11.9,18.9,15.6,11.7,2.6,6.93,0.42,0.27,0.31,0.26,0.42,0.32,EPL,2012
Swansea,6.83,14.9,18.0,18.3,10.8,2.3,6.83,0.28,0.32,0.4,0.29,0.48,0.23,EPL,2012
Fulham,6.82,16.8,17.9,19.6,10.9,1.9,6.82,0.31,0.31,0.38,0.3,0.46,0.24,EPL,2012
Aston Villa,6.8,16.7,19.4,20.3,12.0,2.6,6.8,0.37,0.27,0.36,0.3,0.45,0.25,EPL,2012
Southampton,6.79,11.8,21.6,20.5,10.8,2.3,6.79,0.35,0.29,0.36,0.27,0.44,0.29,EPL,2012
West Ham,6.79,16.4,19.2,12.1,12.4,2.2,6.79,0.38,0.27,0.35,0.27,0.42,0.3,EPL,2012
Sunderland,6.74,16.7,20.6,15.3,12.0,1.8,6.74,0.38,0.25,0.37,0.3,0.45,0.26,EPL,2012
Queens Park Rangers,6.74,15.8,21.5,17.4,10.7,2.8,6.74,0.29,0.32,0.39,0.32,0.45,0.25,EPL,2012
Newcastle United,6.72,13.4,19.2,12.5,12.3,2.2,6.72,0.35,0.27,0.38,0.29,0.45,0.26,EPL,2012
Stoke,6.72,14.3,19.1,13.2,12.8,1.9,6.72,0.31,0.28,0.41,0.28,0.43,0.28,EPL,2012
West Bromwich Albion,6.71,15.6,18.4,9.9,11.5,2.6,6.71,0.36,0.34,0.31,0.28,0.44,0.28,EPL,2012
Wigan,6.68,14.0,18.7,18.3,11.9,2.2,6.68,0.42,0.28,0.3,0.28,0.47,0.26,EPL,2012
Norwich,6.66,14.1,17.8,14.2,11.5,2.6,6.66,0.31,0.28,0.42,0.29,0.44,0.27,EPL,2012
Reading,6.64,18.6,15.8,14.7,10.4,2.1,6.64,0.37,0.24,0.39,0.29,0.43,0.28,EPL,2012
Liverpool,7.18,12.6,22.3,12.3,10.8,2.1,7.18,0.32,0.29,0.4,0.28,0.44,0.28,EPL,2013
Manchester City,7.13,9.4,19.9,13.1,10.4,1.6,7.13,0.34,0.28,0.38,0.23,0.46,0.31,EPL,2013
Chelsea,7.07,10.3,19.2,9.8,11.2,2.8,7.07,0.35,0.3,0.35,0.25,0.44,0.31,EPL,2013
Arsenal,7.05,11.9,18.8,14.3,9.2,1.9,7.05,0.32,0.28,0.4,0.26,0.45,0.29,EPL,2013
Everton,7.01,13.0,19.4,12.2,9.6,2.1,7.01,0.4,0.26,0.34,0.28,0.43,0.29,EPL,2013
Manchester United,6.95,11.9,17.8,15.6,10.6,2.6,6.95,0.34,0.25,0.42,0.25,0.45,0.3,EPL,2013
Southampton,6.91,9.6,21.2,13.9,11.7,2.6,6.91,0.34,0.29,0.38,0.27,0.45,0.28,EPL,2013
Crystal Palace,6.85,13.9,22.3,18.3,10.8,1.9,6.85,0.34,0.27,0.39,0.3,0.43,0.27,EPL,2013
Tottenham,6.84,11.2,19.8,14.7,10.7,1.7,6.84,0.36,0.27,0.37,0.25,0.46,0.3,EPL,2013
Stoke,6.83,14.4,20.8,12.6,12.8,2.1,6.83,0.35,0.26,0.4,0.3,0.45,0.25,EPL,2013
Newcastle United,6.82,12.8,19.3,15.7,10.9,2.1,6.82,0.33,0.3,0.37,0.27,0.46,0.27,EPL,2013
Swansea,6.81,12.7,17.7,16.9,9.9,2.0,6.81,0.28,0.33,0.39,0.28,0.47,0.25,EPL,2013
West Ham,6.79,17.9,17.1,10.6,10.7,2.0,6.79,0.37,0.26,0.37,0.3,0.42,0.28,EPL,2013
West Bromwich Albion,6.75,13.0,18.4,15.7,11.3,2.4,6.75,0.35,0.29,0.36,0.26,0.44,0.3,EPL,2013
Hull,6.72,14.0,19.0,16.1,11.1,2.3,6.72,0.32,0.25,0.43,0.28,0.46,0.26,EPL,2013
Aston Villa,6.71,13.0,19.7,12.0,12.9,2.2,6.71,0.36,0.3,0.34,0.28,0.46,0.26,EPL,2013
Sunderland,6.68,16.7,18.5,10.9,11.8,1.8,6.68,0.38,0.26,0.35,0.3,0.44,0.25,EPL,2013
Norwich,6.66,15.3,17.7,13.8,11.2,1.3,6.66,0.31,0.28,0.41,0.29,0.43,0.28,EPL,2013
Fulham,6.66,17.7,18.5,13.1,10.2,2.3,6.66,0.31,0.28,0.41,0.31,0.44,0.25,EPL,2013
Cardiff,6.64,18.2,16.3,13.0,9.1,2.1,6.64,0.29,0.27,0.43,0.31,0.43,0.26,EPL,2013
Arsenal,7.15,10.7,19.4,20.2,9.9,1.7,7.15,0.34,0.32,0.34,0.25,0.44,0.31,EPL,2014
Manchester City,7.07,10.2,19.8,15.0,11.7,2.1,7.07,0.34,0.29,0.37,0.23,0.46,0.31,EPL,2014
Chelsea,7.06,10.9,20.0,9.7,10.1,2.0,7.06,0.38,0.31,0.32,0.25,0.45,0.31,EPL,2014
Manchester United,6.99,10.1,19.4,17.9,11.9,2.3,6.99,0.35,0.27,0.38,0.25,0.45,0.29,EPL,2014
Southampton,6.91,10.1,21.4,16.5,12.3,2.4,6.91,0.34,0.31,0.35,0.26,0.46,0.28,EPL,2014
Liverpool,6.9,10.9,21.0,11.6,10.1,2.0,6.9,0.34,0.3,0.36,0.28,0.45,0.27,EPL,2014
Tottenham,6.89,12.9,21.4,17.8,11.6,2.0,6.89,0.35,0.3,0.35,0.26,0.46,0.27,EPL,2014
Stoke,6.87,12.0,19.3,13.2,12.8,2.0,6.87,0.36,0.26,0.38,0.28,0.44,0.28,EPL,2014
Swansea,6.86,14.6,16.7,18.2,10.5,2.1,6.86,0.3,0.3,0.4,0.3,0.48,0.21,EPL,2014
West Ham,6.85,15.5,17.0,13.3,11.1,2.4,6.85,0.36,0.27,0.37,0.29,0.43,0.29,EPL,2014
Leicester,6.84,14.7,20.8,19.6,12.0,1.6,6.84,0.34,0.25,0.41,0.29,0.43,0.28,EPL,2014
Crystal Palace,6.83,13.8,20.8,15.8,13.9,2.0,6.83,0.39,0.26,0.35,0.28,0.45,0.28,EPL,2014
Everton,6.82,13.2,17.4,11.7,10.3,2.2,6.82,0.37,0.28,0.35,0.3,0.44,0.27,EPL,2014
Burnley,6.79,15.6,16.1,14.9,10.7,1.7,6.79,0.3,0.29,0.41,0.26,0.45,0.28,EPL,2014
Queens Park Rangers,6.77,16.4,20.6,14.8,11.8,2.1,6.77,0.33,0.29,0.38,0.29,0.43,0.27,EPL,2014
West Bromwich Albion,6.77,14.4,18.3,15.5,11.1,1.7,6.77,0.36,0.27,0.37,0.31,0.43,0.26,EPL,2014
Hull,6.76,13.2,20.1,15.9,11.9,1.9,6.76,0.34,0.26,0.4,0.29,0.46,0.26,EPL,2014
Sunderland,6.75,16.5,20.0,15.2,11.6,1.8,6.75,0.4,0.26,0.34,0.33,0.44,0.24,EPL,2014
Newcastle United,6.74,11.7,21.7,16.9,11.4,1.0,6.74,0.36,0.23,0.4,0.27,0.45,0.28,EPL,2014
Aston Villa,6.69,12.6,16.4,12.7,10.6,1.9,6.69,0.37,0.26,0.37,0.28,0.46,0.26,EPL,2014
Arsenal,7.08,11.8,18.6,19.4,9.2,2.3,7.08,0.37,0.3,0.33,0.25,0.44,0.3,EPL,2015
Leicester,7.06,13.6,22.9,21.6,10.7,1.3,7.06,0.36,0.25,0.4,0.29,0.43,0.28,EPL,2015
Tottenham,7.01,11.1,21.1,17.0,11.9,1.9,7.01,0.38,0.29,0.33,0.26,0.44,0.29,EPL,2015
Manchester City,7.01,8.9,19.2,16.6,10.8,1.7,7.01,0.35,0.26,0.39,0.24,0.46,0.31,EPL,2015
West Ham,6.92,13.7,18.7,17.5,10.1,2.2,6.92,0.37,0.28,0.35,0.28,0.44,0.28,EPL,2015
Southampton,6.91,12.2,18.8,18.6,11.0,2.6,6.91,0.35,0.3,0.34,0.27,0.44,0.3,EPL,2015
Liverpool,6.91,10.5,22.9,14.5,11.1,2.4,6.91,0.34,0.3,0.37,0.26,0.44,0.3,EPL,2015
Everton,6.88,14.6,19.2,13.4,8.3,1.4,6.88,0.33,0.29,0.38,0.3,0.43,0.27,EPL,2015
Chelsea,6.87,12.7,20.8,13.6,10.6,2.4,6.87,0.38,0.3,0.32,0.27,0.44,0.3,EPL,2015
Manchester United,6.83,10.8,20.0,15.6,12.4,2.0,6.83,0.41,0.24,0.35,0.24,0.44,0.32,EPL,2015
Watford,6.8,13.2,20.9,20.2,12.1,1.4,6.8,0.38,0.3,0.32,0.29,0.43,0.27,EPL,2015
Sunderland,6.76,15.0,20.2,14.9,10.6,2.3,6.76,0.34,0.29,0.38,0.3,0.44,0.25,EPL,2015
Crystal Palace,6.76,14.9,17.1,18.4,12.4,2.1,6.76,0.39,0.24,0.37,0.31,0.41,0.29,EPL,2015
Swansea,6.75,13.7,16.8,17.9,10.3,2.2,6.75,0.32,0.27,0.41,0.28,0.47,0.25,EPL,2015
Stoke,6.74,14.1,18.7,15.2,11.0,2.7,6.74,0.38,0.28,0.35,0.3,0.46,0.24,EPL,2015
Newcastle United,6.73,14.5,20.8,16.9,11.0,1.6,6.73,0.29,0.27,0.44,0.31,0.45,0.24,EPL,2015
West Bromwich Albion,6.72,14.4,16.9,19.0,10.3,1.8,6.72,0.31,0.27,0.41,0.29,0.42,0.28,EPL,2015
Bournemouth,6.71,11.6,18.6,16.8,9.5,1.7,6.71,0.37,0.24,0.39,0.26,0.45,0.28,EPL,2015
Aston Villa,6.69,13.2,19.2,20.2,11.3,1.1,6.69,0.37,0.28,0.35,0.28,0.47,0.26,EPL,2015
Norwich,6.61,12.9,16.0,12.4,11.0,2.4,6.61,0.34,0.25,0.41,0.28,0.44,0.28,EPL,2015
Chelsea,7.05,8.5,17.2,13.6,10.4,1.7,7.05,0.35,0.31,0.35,0.26,0.44,0.29,EPL,2016
Tottenham,7.04,9.2,17.4,8.3,11.4,1.9,7.04,0.38,0.29,0.33,0.25,0.43,0.32,EPL,2016
Manchester City,7.01,7.9,16.9,13.1,10.4,2.3,7.01,0.35,0.29,0.36,0.23,0.44,0.33,EPL,2016
Arsenal,6.99,11.4,17.7,14.2,10.5,2.5,6.99,0.35,0.32,0.32,0.26,0.43,0.32,EPL,2016
Manchester United,6.99,9.5,18.2,15.3,13.1,2.6,6.99,0.39,0.28,0.33,0.25,0.45,0.31,EPL,2016
Liverpool,6.98,8.2,18.9,10.8,10.4,2.0,6.98,0.35,0.29,0.36,0.23,0.45,0.32,EPL,2016
Everton,6.91,11.8,18.8,12.1,12.1,2.2,6.91,0.32,0.28,0.4,0.29,0.43,0.28,EPL,2016
Southampton,6.76,11.5,17.8,13.5,11.3,1.9,6.76,0.39,0.26,0.35,0.26,0.46,0.28,EPL,2016
West Ham,6.76,13.3,15.1,16.2,10.7,1.9,6.76,0.37,0.29,0.34,0.27,0.47,0.27,EPL,2016
Stoke,6.76,14.2,17.5,13.1,11.4,2.2,6.76,0.35,0.29,0.36,0.29,0.45,0.27,EPL,2016
Crystal Palace,6.76,13.6,18.4,14.5,12.4,1.4,6.76,0.37,0.28,0.35,0.3,0.41,0.29,EPL,2016
Middlesbrough,6.74,14.5,19.1,14.4,12.7,1.3,6.74,0.32,0.3,0.38,0.31,0.46,0.23,EPL,2016
Bournemouth,6.74,14.5,15.9,12.1,9.7,1.4,6.74,0.37,0.26,0.38,0.3,0.43,0.28,EPL,2016
