R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Arsenal,54,3,9,4,2
2,Manchester United,54,5,13,3,3
3,Chelsea,40,4,18,6,1
4,Liverpool,38,3,11,6,1
5,Manchester City,35,2,13,8,2
6,West Bromwich Albion,35,3,11,4,3
7,Tottenham,33,3,12,5,2
8,Everton,29,4,14,3,1
9,Newcastle United,29,1,20,5,1
10,Bolton,29,3,14,4,2
11,Sunderland,28,2,8,4,3
12,Aston Villa,28,4,9,4,3
13,Fulham,27,2,17,2,1
14,Blackpool,27,3,17,7,1
15,Wolverhampton Wanderers,25,1,16,3,1
16,West Ham,22,1,13,5,2
17,Blackburn,22,1,18,1,4
18,Wigan,20,5,9,2,4
19,Stoke,19,4,18,3,2
20,Birmingham,18,1,16,2,0
