Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Chelsea,19.6,8.5,1.6,9.5,7.05
2. Manchester United,16.3,7,1.2,8.1,7.03
3. Arsenal,17.2,6.1,1.3,9.8,7.02
4. Manchester City,14.4,6.2,0.7,7.4,6.98
5. Tottenham,17.3,9,0.9,7.4,6.98
6. Liverpool,15.3,6.5,1.1,7.8,6.90
7. Fulham,14.4,7,0.8,6.6,6.90
8. Bolton,15,6.5,1.1,7.4,6.88
9. Sunderland,14,7.1,0.6,6.3,6.83
10. Aston Villa,13.3,5.1,1.2,7,6.82
11. Everton,15.3,6.7,1,7.5,6.81
12. Wigan,13.4,6.7,0.6,6.2,6.80
13. Newcastle United,13.3,5,1.3,7,6.79
14. West Ham,15.1,6.9,0.8,7.4,6.76
15. Stoke,12.7,4.6,1.7,6.4,6.75
16. Blackburn,11.9,4.3,1.1,6.5,6.74
17. Blackpool,14,6.7,1.4,5.9,6.73
18. West Bromwich Albion,15.7,7.5,1.1,7.2,6.70
19. Birmingham,10.6,4.9,0.9,4.7,6.68
20. Wolverhampton Wanderers,12.1,4.7,1.3,6.1,6.65
