Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Chelsea,69,19.6,591,56.0,83.0,12.7,7.05
2. Manchester United,78,16.3,563,54.6,80.8,12.6,7.03
3. Arsenal,72,17.2,656,57.7,83.4,13.7,7.02
4. Tottenham,55,17.3,512,53.4,79.6,16.2,6.98
5. Manchester City,58,14.4,715,52.5,81.5,12.2,6.98
6. Liverpool,61,15.3,632,51.5,76.6,13.9,6.90
7. Fulham,49,14.4,521,50.2,75.5,16,6.90
8. Bolton,52,15,675,47.4,66.6,20.9,6.88
9. Sunderland,45,14,575,48.8,71.0,17.8,6.83
10. Aston Villa,48,13.3,712,49.1,73.4,16.5,6.82
11. Everton,51,15.3,555,49.9,75.5,14.4,6.81
12. Wigan,40,13.4,674,50.6,74.8,12.5,6.80
13. Newcastle United,57,13.3,782,49.8,75.4,15.8,6.79
14. West Ham,43,15.1,591,46.4,74.9,16.3,6.76
15. Stoke,46,12.7,682,42.0,63.4,19.8,6.75
16. Blackburn,46,11.9,655,44.0,64.2,15.7,6.74
17. Blackpool,59,14,472,49.9,75.4,13.5,6.73
18. West Bromwich Albion,56,15.7,527,48.7,77.2,11.2,6.70
19. Birmingham,37,10.6,573,47.9,70.6,16.9,6.68
20. Wolverhampton Wanderers,46,12.1,622,49.6,71.6,14.7,6.65
