R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,West Ham,48,0,15,5,2
2,Blackpool,46,6,19,2,5
3,Wolverhampton Wanderers,41,4,15,4,2
4,Wigan,38,6,13,4,0
5,Blackburn,37,2,13,6,1
6,Newcastle United,36,2,12,5,2
7,Birmingham,32,3,14,5,4
8,Bolton,32,3,18,3,0
9,West Bromwich Albion,32,4,24,6,5
10,Tottenham,31,2,8,4,1
11,Sunderland,30,1,19,5,1
12,Stoke,30,1,12,3,2
13,Aston Villa,29,2,23,4,1
14,Everton,27,5,9,2,2
15,Fulham,25,4,9,0,5
16,Liverpool,23,1,10,7,3
17,Manchester City,21,0,9,3,0
18,Manchester United,19,2,10,5,1
19,Chelsea,18,4,8,2,1
20,Arsenal,17,3,16,6,1
