Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Chelsea,19.6,6.4,10.1,11.3,7.05
2. Manchester United,16.3,5.6,8.2,10.2,7.03
3. Arsenal,17.2,6.3,10.5,11.1,7.02
4. Tottenham,17.3,5,9.9,13,6.98
5. Manchester City,14.4,4.7,9.1,11.1,6.98
6. Liverpool,15.3,5.4,7.6,11.4,6.90
7. Fulham,14.4,4.5,5.4,12,6.90
8. Bolton,15,4.6,5.9,11,6.88
9. Sunderland,14,4.1,6.6,10.9,6.83
10. Aston Villa,13.3,4.3,5.9,11.9,6.82
11. Everton,15.3,4.8,7,13.9,6.81
12. Wigan,13.4,4.5,9.9,11.4,6.80
13. Newcastle United,13.3,4.4,7.6,13.5,6.79
14. West Ham,15.1,4.6,6.2,9.9,6.76
15. Stoke,12.7,3.8,4.5,10.6,6.75
16. Blackburn,11.9,3.6,5.6,11.3,6.74
17. Blackpool,14,4.2,7,10.5,6.73
18. West Bromwich Albion,15.7,4.8,8,10.5,6.70
19. Birmingham,10.6,3.2,4,11.8,6.68
20. Wolverhampton Wanderers,12.1,3.7,4.2,11.9,6.65
