R,Team,Left Side,Attempts from the middle,Right Side
1,Chelsea,26%,59%,16%
2,Stoke,21%,63%,15%
3,Blackburn,20%,62%,19%
4,Wolverhampton Wanderers,20%,62%,18%
5,Blackpool,19%,66%,15%
6,Wigan,19%,64%,17%
7,Aston Villa,18%,67%,15%
8,West Ham,18%,64%,18%
9,Bolton,18%,65%,17%
10,Tottenham,18%,63%,19%
11,West Bromwich Albion,18%,68%,15%
12,Manchester City,18%,68%,14%
13,Fulham,18%,66%,17%
14,Newcastle United,17%,66%,17%
15,Everton,17%,66%,17%
16,Sunderland,16%,69%,15%
17,Liverpool,15%,66%,19%
18,Birmingham,15%,68%,17%
19,Manchester United,15%,68%,17%
20,Arsenal,14%,68%,18%
