R,Team,Left Side,Attempts from the middle,Right Side
1,West Bromwich Albion,25%,56%,20%
2,Wigan,23%,57%,20%
3,West Ham,22%,61%,17%
4,Manchester City,21%,56%,23%
5,Birmingham,20%,64%,16%
6,Chelsea,19%,64%,16%
7,Liverpool,18%,67%,15%
8,Blackpool,18%,66%,16%
9,Arsenal,17%,69%,14%
10,Sunderland,17%,68%,15%
11,Tottenham,17%,66%,17%
12,Manchester United,17%,65%,18%
13,Aston Villa,16%,66%,17%
14,Bolton,16%,67%,17%
15,Wolverhampton Wanderers,16%,69%,15%
16,Fulham,16%,64%,19%
17,Everton,15%,67%,18%
18,Newcastle United,15%,75%,10%
19,Blackburn,15%,72%,13%
20,Stoke,15%,71%,14%
