R,Team,Own Third,Middle Third,Opposition Third
1,Blackpool,33%,40%,27%
2,West Ham,32%,42%,27%
3,Birmingham,32%,40%,28%
4,Wigan,31%,43%,26%
5,Blackburn,31%,39%,29%
6,Liverpool,30%,42%,28%
7,Aston Villa,30%,44%,27%
8,Tottenham,30%,43%,28%
9,West Bromwich Albion,30%,42%,28%
10,Sunderland,29%,43%,29%
11,Bolton,29%,40%,31%
12,Stoke,29%,42%,30%
13,Wolverhampton Wanderers,29%,39%,32%
14,Newcastle United,28%,42%,30%
15,Manchester United,28%,44%,30%
16,Manchester City,28%,45%,27%
17,Everton,27%,40%,33%
18,Fulham,27%,45%,28%
19,Chelsea,26%,43%,31%
20,Arsenal,25%,44%,32%
