Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,15,4.6,1.3,9.1,6.88
2. Lille,12.8,5.7,0.3,6.7,6.82
3. Lyon,16.1,5.3,1.7,9.1,6.80
4. Monaco,12.8,4.1,1,7.7,6.73
5. Rennes,13.5,5.6,0.8,7.2,6.69
6. Metz,11.5,5.3,0.7,5.5,6.66
7. Brest,11.8,4,1,6.8,6.64
8. Lens,11.7,4.5,1.2,6,6.64
9. Nice,10.8,4,0.7,6,6.63
10. Marseille,10,3.6,1.1,5.3,6.63
11. Montpellier,12.2,3.9,1.2,7.1,6.63
12. Nantes,10.8,4.7,1,5.1,6.62
13. Strasbourg,11.3,4.3,1.1,5.9,6.61
14. Reims,9.6,4,0.5,5.1,6.60
15. Saint-Etienne,11.6,4.2,0.9,6.6,6.59
16. Bordeaux,11.1,4,0.8,6.3,6.59
17. Lorient,11.2,5,0.7,5.5,6.54
18. Angers,10.7,4.5,0.7,5.5,6.53
19. Nimes,10.3,4,0.6,5.7,6.52
20. Dijon,9.2,3.4,0.4,5.5,6.42
