R,Team,Left Side,Attempts from the middle,Right Side
1,Marseille,23%,60%,17%
2,Lille,21%,61%,18%
3,Lyon,20%,62%,19%
4,Rennes,20%,63%,18%
5,Nice,20%,59%,22%
6,Lorient,19%,67%,14%
7,Monaco,19%,65%,16%
8,Reims,19%,66%,15%
9,Angers,19%,66%,15%
10,Strasbourg,18%,67%,15%
11,Nimes,18%,66%,16%
12,Metz,18%,66%,16%
13,Montpellier,18%,67%,15%
14,Paris Saint-Germain,18%,64%,18%
15,Bordeaux,18%,68%,14%
16,Nantes,18%,65%,17%
17,Dijon,18%,65%,17%
18,Saint-Etienne,16%,69%,15%
19,Lens,15%,66%,20%
20,Brest,15%,69%,15%
