Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,15,5.7,12.9,11.3,6.88
2. Lille,12.8,4.8,10.7,11.8,6.82
3. Lyon,16.1,6.2,12.6,11.6,6.80
4. Monaco,12.8,4.6,8.1,12.4,6.73
5. Rennes,13.5,4.3,10.7,12.8,6.69
6. Metz,11.5,3.7,10,12.5,6.66
7. Lens,11.7,3.8,9.6,12.2,6.64
8. Brest,11.8,4.2,10.1,11.4,6.64
9. Marseille,10,3.6,8.4,12.4,6.63
10. Montpellier,12.2,4.6,7.9,11.9,6.63
11. Nice,10.8,3.8,11.6,11.5,6.63
12. Nantes,10.8,3.4,9.9,13.1,6.62
13. Strasbourg,11.3,3.8,7.9,10.8,6.61
14. Reims,9.6,3.3,9.7,10.9,6.60
15. Saint-Etienne,11.6,4,11.4,12.9,6.59
16. Bordeaux,11.1,3.7,10.3,12.6,6.59
17. Lorient,11.2,3.7,9.5,12.3,6.54
18. Angers,10.7,3.8,10.2,12.7,6.53
19. Nimes,10.3,3.7,8.4,14,6.52
20. Dijon,9.2,2.4,10.1,11.1,6.42
