R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Nimes,47,8,10,6,0
2,Dijon,44,4,16,7,2
3,Angers,43,2,5,7,1
4,Brest,42,2,11,9,2
5,Lorient,38,5,14,10,1
6,Strasbourg,36,4,11,6,1
7,Montpellier,33,4,11,12,2
8,Nantes,33,1,10,10,1
9,Bordeaux,32,6,10,7,1
10,Saint-Etienne,30,1,15,6,2
11,Reims,30,1,13,5,1
12,Monaco,28,3,5,5,1
13,Nice,28,3,13,7,0
14,Marseille,27,5,11,3,1
15,Metz,27,1,7,12,1
16,Lyon,26,2,8,5,2
17,Lens,26,3,11,11,3
18,Rennes,25,4,7,3,1
19,Paris Saint-Germain,20,2,4,1,1
20,Lille,12,1,7,1,2
