R,Team,Left Side,Middle of the pitch,Right Side
1,Reims,42%,22%,36%
2,Paris Saint-Germain,41%,29%,30%
3,Saint-Etienne,40%,21%,39%
4,Nimes,39%,21%,40%
5,Dijon,39%,24%,37%
6,Brest,39%,23%,39%
7,Nice,39%,25%,36%
8,Strasbourg,38%,24%,38%
9,Lens,38%,26%,37%
10,Nantes,38%,26%,36%
11,Lille,38%,28%,35%
12,Rennes,37%,25%,38%
13,Angers,37%,23%,41%
14,Lorient,36%,25%,38%
15,Monaco,36%,26%,39%
16,Lyon,36%,27%,37%
17,Montpellier,36%,22%,42%
18,Bordeaux,36%,23%,41%
19,Marseille,35%,24%,41%
20,Metz,33%,25%,43%
