Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,14.7,6.7,11.7,14.5,6.99
2. Atletico Madrid,11.7,4.2,9.6,11.9,6.90
3. Real Madrid,15.6,5.7,12.1,14.3,6.86
4. Valencia,12.6,4.4,9,13.5,6.80
5. Sevilla,13.9,4.7,9.4,12.2,6.78
6. Villarreal,13,4.6,9.2,10.8,6.72
7. Real Sociedad,11.3,3.8,10.8,14.3,6.70
8. Eibar,14,4.1,9.1,10.3,6.70
9. Real Betis,11.7,4.4,11.8,14.4,6.69
10. Celta Vigo,11.9,4.2,10,12.7,6.69
11. Espanyol,12.5,4.2,8.4,13.4,6.69
12. Getafe,10.6,3.4,7.9,13.2,6.69
13. Athletic Bilbao,10.2,3.7,7.6,12.9,6.68
14. Leganes,11,3.5,6.7,10.5,6.67
15. Deportivo Alaves,11.3,3.2,7.2,13.1,6.66
16. Levante,11.6,4.2,10.6,12.8,6.65
17. Girona,10.5,3.8,8.3,13.9,6.65
18. SD Huesca,12.4,3.9,8.3,11.6,6.62
19. Rayo Vallecano,12.1,4,14.1,12,6.61
20. Real Valladolid,10.9,3.5,7.7,13.7,6.59
