Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,14.7,5.7,0.9,8.2,6.99
2. Atletico Madrid,11.7,4.9,0.9,5.8,6.90
3. Real Madrid,15.6,5.5,0.8,9.4,6.86
4. Valencia,12.6,4.5,1.2,6.9,6.80
5. Sevilla,13.9,4.9,1.3,7.8,6.78
6. Villarreal,13,4.5,0.8,7.7,6.72
7. Eibar,14,4.7,1,8.3,6.70
8. Real Sociedad,11.3,4.4,0.7,6.2,6.70
9. Getafe,10.6,3.4,0.8,6.3,6.69
10. Espanyol,12.5,5.4,0.9,6.1,6.69
11. Celta Vigo,11.9,4.4,0.6,6.9,6.69
12. Real Betis,11.7,4.8,0.7,6.1,6.69
13. Athletic Bilbao,10.2,3.1,0.8,6.2,6.68
14. Leganes,11,3.6,0.6,6.9,6.67
15. Deportivo Alaves,11.3,4.4,1,5.9,6.66
16. Girona,10.5,4,0.9,5.6,6.65
17. Levante,11.6,4.5,0.7,6.4,6.65
18. SD Huesca,12.4,4.7,1.1,6.6,6.62
19. Rayo Vallecano,12.1,5.4,1.3,5.3,6.61
20. Real Valladolid,10.9,4.7,0.6,5.5,6.59
