Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,10.8,14.1,10.3,10.8,2.7,6.99
2. Atletico Madrid,11.4,20.6,12.2,12.5,2.1,6.90
3. Real Madrid,10.2,16.5,9.8,11.7,2.9,6.86
4. Valencia,12.7,15.7,11,12.2,2,6.80
5. Sevilla,12.1,15.7,9.6,14.1,2.9,6.78
6. Villarreal,14.6,17.6,10.3,13.6,2.5,6.72
7. Real Sociedad,11.7,15.2,11.2,12.9,2.4,6.70
8. Eibar,8.8,16.8,9.7,13.7,2.4,6.70
9. Real Betis,11.2,16.2,9.5,11.4,2.1,6.69
10. Celta Vigo,12.6,16.7,10.1,12.1,2.4,6.69
11. Espanyol,13.6,17.2,10.7,14,2.2,6.69
12. Getafe,10,15.9,11.9,16.9,2.7,6.69
13. Athletic Bilbao,10.4,16.9,11.9,15.3,1.9,6.68
14. Leganes,10.8,16,11.4,14.3,2,6.67
15. Deportivo Alaves,13.2,16.9,10.3,14.5,1.5,6.66
16. Levante,18.2,15.1,11.1,13.2,2.2,6.65
17. Girona,13.8,16.1,11.4,14.1,1.6,6.65
18. SD Huesca,12.3,18.7,11.5,15.2,2.5,6.62
19. Rayo Vallecano,11.8,17.1,11.4,14.9,1.9,6.61
20. Real Valladolid,12.9,18.8,10.2,13.7,2.5,6.59
