Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,90,14.7,752,61.4,88.3,12.1,6.99
2. Atletico Madrid,55,11.7,975,49.3,80.6,18.2,6.90
3. Real Madrid,63,15.6,756,57.8,87.5,13.1,6.86
4. Valencia,51,12.6,873,47.8,79.6,16.3,6.80
5. Sevilla,62,13.9,1116,51.4,79.6,17.9,6.78
6. Villarreal,49,13,1123,48.5,79.9,16.9,6.72
7. Real Sociedad,45,11.3,784,51.7,80.2,19,6.70
8. Eibar,46,14,792,52.0,72.7,27.1,6.70
9. Real Betis,44,11.7,901,59.4,86.7,12.7,6.69
10. Celta Vigo,53,11.9,746,51.5,81.8,18,6.69
11. Espanyol,48,12.5,872,49.6,80.0,16.3,6.69
12. Getafe,48,10.6,1047,43.0,63.7,22.8,6.69
13. Athletic Bilbao,41,10.2,1175,49.7,76.9,25.3,6.68
14. Leganes,37,11,1024,44.5,73.2,25.1,6.67
15. Deportivo Alaves,39,11.3,1011,44.6,70.8,23.6,6.66
16. Levante,59,11.6,1017,46.6,75.3,13.1,6.65
17. Girona,37,10.5,794,48.5,78.6,20.4,6.65
18. SD Huesca,43,12.4,1123,45.8,73.7,20.3,6.62
19. Rayo Vallecano,41,12.1,978,49.5,78.9,14.6,6.61
20. Real Valladolid,32,10.9,930,47.5,76.4,16.3,6.59
