R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Rayo Vallecano,45,3,14,7,1
2,SD Huesca,44,5,4,9,3
3,Celta Vigo,41,3,11,6,1
4,Levante,38,3,15,8,2
5,Eibar,35,2,9,3,1
6,Real Betis,31,4,13,4,0
7,Sevilla,31,2,8,6,0
8,Villarreal,31,2,13,3,3
9,Deportivo Alaves,30,4,8,6,2
10,Real Madrid,29,4,7,6,0
11,Real Valladolid,29,2,13,6,1
12,Girona,29,5,9,8,2
13,Athletic Bilbao,28,3,9,5,0
14,Real Sociedad,28,0,14,2,2
15,Leganes,28,0,11,3,1
16,Barcelona,24,6,3,2,1
17,Espanyol,23,3,16,6,2
18,Getafe,17,1,11,4,2
19,Valencia,16,1,9,7,2
20,Atletico Madrid,14,3,5,5,2
