R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Valencia,21,1,62,435
2,Leganes,19,1,72,427
3,Atletico Madrid,18,1,66,412
4,Getafe,16,1,77,398
5,Deportivo Alaves,21,1,69,397
6,Villarreal,22,1,67,392
7,Girona,20,2,64,389
8,SD Huesca,18,2,66,389
9,Real Valladolid,21,1,62,385
10,Espanyol,22,1,65,374
11,Levante,20,1,62,367
12,Celta Vigo,20,2,62,360
13,Athletic Bilbao,17,1,68,356
14,Rayo Vallecano,19,2,65,353
15,Real Sociedad,20,1,69,352
16,Sevilla,18,1,64,351
17,Real Madrid,14,1,56,333
18,Barcelona,15,1,54,302
19,Eibar,14,2,80,301
20,Real Betis,16,1,54,281
