R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Real Sociedad,10%,52%,37%
2,Real Valladolid,9%,57%,35%
3,Getafe,9%,60%,31%
4,Barcelona,9%,56%,35%
5,Eibar,9%,58%,33%
6,Athletic Bilbao,8%,50%,42%
7,Celta Vigo,8%,56%,36%
8,SD Huesca,8%,56%,36%
9,Levante,8%,52%,40%
10,Real Madrid,7%,55%,38%
11,Valencia,7%,49%,44%
12,Rayo Vallecano,7%,60%,33%
13,Real Betis,6%,56%,38%
14,Deportivo Alaves,6%,59%,36%
15,Sevilla,6%,52%,42%
16,Espanyol,6%,59%,35%
17,Leganes,6%,52%,42%
18,Girona,6%,54%,40%
19,Villarreal,6%,57%,37%
20,Atletico Madrid,4%,55%,41%
