Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,11.1,16,8,9.4,2.5,6.89
2. Rennes,9.3,14.2,8.3,11.4,1.6,6.77
3. Lyon,11.9,16.9,10.8,11.4,1.7,6.76
4. Strasbourg,10.7,17.3,11.8,12.7,1.5,6.74
5. Marseille,8.5,14.8,8.5,9.3,1.5,6.71
6. Nice,11.9,15.8,11.7,11.8,1.4,6.70
7. Monaco,10.5,19.5,11.1,13.3,2.4,6.68
8. Lens,10.8,15.2,12,11.5,1.5,6.66
9. Nantes,11.7,18.6,10.8,13.5,1.5,6.64
10. Brest,12.5,17.9,12.2,11.4,1.2,6.64
11. Lille,11.8,17.7,9.8,11.6,2.4,6.63
12. Montpellier,15.5,15.5,9.3,10.8,1.3,6.60
13. Reims,12.9,16.3,12.9,11.9,2.2,6.60
14. Lorient,12.5,18.4,11.1,12.1,1.5,6.54
15. Angers,11.4,16.8,11.1,11.8,1.3,6.53
16. Troyes,11.7,16.5,11.4,11.6,1.4,6.51
17. Metz,14.4,18.5,13,13.2,1.3,6.51
18. Saint-Etienne,11.8,18.5,12.1,12.4,1.4,6.49
19. Clermont Foot,11.5,16.2,10.2,10.1,1.3,6.46
20. Bordeaux,13.8,17.1,12.5,12,1.5,6.43
