R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,13,2,36,630
2,Marseille,17,2,49,559
3,Lyon,15,3,50,540
4,Monaco,19,2,57,456
5,Rennes,19,1,58,454
6,Lens,18,1,46,442
7,Nice,18,1,48,429
8,Clermont Foot,18,1,52,426
9,Lille,16,1,54,409
10,Angers,14,1,54,408
11,Strasbourg,21,1,60,387
12,Saint-Etienne,19,1,56,375
13,Montpellier,19,1,57,368
14,Troyes,19,1,54,354
15,Bordeaux,16,1,62,354
16,Lorient,15,1,58,344
17,Brest,19,1,62,332
18,Nantes,20,1,60,326
19,Metz,16,1,56,325
20,Reims,17,0,55,320
