Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,14.3,5,1.2,8.2,6.89
2. Rennes,14.8,4.6,1.5,8.6,6.77
3. Lyon,13.9,4.7,1.2,8.1,6.76
4. Strasbourg,12.7,4.1,1.3,7.3,6.74
5. Marseille,13.4,4.8,0.9,7.7,6.71
6. Nice,11.3,3.6,0.9,6.8,6.70
7. Monaco,11.5,4,1.1,6.4,6.68
8. Lens,12.8,5.3,1,6.6,6.66
9. Brest,10.6,3.5,0.8,6.3,6.64
10. Nantes,10.9,3.4,0.8,6.6,6.64
11. Lille,12.4,4.5,1,6.9,6.63
12. Reims,10.4,3.6,0.5,6.3,6.60
13. Montpellier,11.3,5.4,0.9,5,6.60
14. Lorient,11.4,4.9,0.6,6,6.54
15. Angers,10,3.9,0.8,5.2,6.53
16. Metz,9.6,4.6,0.5,4.5,6.51
17. Troyes,10.5,4.4,0.6,5.5,6.51
18. Saint-Etienne,11.6,5.1,0.7,5.8,6.49
19. Clermont Foot,11.2,4,0.9,6.2,6.46
20. Bordeaux,11.8,5.2,0.7,5.9,6.43
