R,Team,Left Side,Middle of the pitch,Right Side
1,Reims,41%,22%,37%
2,Saint-Etienne,40%,21%,39%
3,Lorient,40%,24%,36%
4,Nantes,40%,24%,36%
5,Montpellier,40%,20%,40%
6,Brest,40%,20%,40%
7,Paris Saint-Germain,39%,29%,32%
8,Troyes,38%,24%,38%
9,Strasbourg,38%,25%,37%
10,Angers,38%,23%,39%
11,Monaco,37%,26%,37%
12,Rennes,37%,25%,38%
13,Lille,37%,23%,39%
14,Clermont Foot,37%,21%,41%
15,Lyon,36%,28%,36%
16,Nice,36%,26%,38%
17,Bordeaux,35%,23%,42%
18,Lens,35%,27%,38%
19,Metz,33%,25%,41%
20,Marseille,33%,26%,42%
