R,Team,Own Third,Middle Third,Opposition Third
1,Montpellier,31%,44%,25%
2,Reims,31%,44%,25%
3,Troyes,30%,46%,25%
4,Metz,30%,47%,23%
5,Bordeaux,30%,45%,25%
6,Lorient,29%,46%,25%
7,Clermont Foot,29%,45%,26%
8,Angers,29%,46%,25%
9,Saint-Etienne,27%,47%,26%
10,Lille,27%,45%,28%
11,Nice,27%,46%,26%
12,Brest,27%,47%,28%
13,Rennes,26%,45%,30%
14,Nantes,26%,46%,29%
15,Lyon,25%,47%,28%
16,Strasbourg,25%,46%,29%
17,Lens,25%,48%,28%
18,Marseille,24%,46%,30%
19,Paris Saint-Germain,24%,45%,31%
20,Monaco,23%,46%,31%
