R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bordeaux,51,5,14,7,2
2,Clermont Foot,40,0,13,5,3
3,Saint-Etienne,39,3,12,7,3
4,Metz,37,1,14,5,2
5,Montpellier,37,2,5,2,0
6,Angers,30,0,12,5,2
7,Lorient,28,3,13,5,3
8,Lens,28,4,5,4,0
9,Brest,27,4,12,3,2
10,Nantes,26,2,6,3,1
11,Lille,25,0,10,3,2
12,Troyes,24,2,9,9,2
13,Rennes,24,2,4,5,1
14,Strasbourg,23,1,6,4,1
15,Lyon,21,4,9,6,3
16,Paris Saint-Germain,21,2,5,2,0
17,Reims,21,2,9,4,0
18,Nice,19,1,5,4,0
19,Monaco,18,1,5,7,3
20,Marseille,18,0,10,4,1
