R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,27,2,83,442
2,Bayer Leverkusen,20,2,68,409
3,Hamburger SV,22,1,71,378
4,Schalke 04,23,1,70,374
5,Werder Bremen,22,2,61,373
6,Borussia Dortmund,22,2,68,365
7,Eintracht Frankfurt,21,2,70,345
8,Wolfsburg,22,2,66,333
9,Hoffenheim,19,2,69,329
10,VfB Stuttgart,20,2,66,327
11,Mainz 05,18,2,67,327
12,St. Pauli,19,1,65,308
13,Kaiserslautern,22,1,73,305
14,Borussia M.Gladbach,15,1,66,301
15,Freiburg,19,1,73,297
16,Hannover 96,17,1,65,294
17,Nuernberg,17,1,74,289
18,FC Koln,17,2,65,278
