Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,81,15,432,58.1,83.4,5.3,7.04
2. Borussia Dortmund,67,16.9,391,51.4,75.1,7.9,7.01
3. Mainz 05,52,12.4,541,50.4,74.1,8.8,6.94
4. Bayer Leverkusen,64,14,551,54.0,78.5,8.9,6.91
5. Hamburger SV,46,12.5,532,53.4,79.9,6.1,6.85
6. VfB Stuttgart,61,13.7,644,19.3,76.0,7.2,6.85
7. Hoffenheim,50,14.1,614,50.4,74.4,6.5,6.82
8. Kaiserslautern,48,13.5,594,48.5,72.1,9.4,6.79
9. Werder Bremen,47,13.5,674,51.9,75.9,8,6.76
10. Schalke 04,38,11.5,514,51.4,78.5,6.7,6.75
11. Wolfsburg,43,11.9,712,49.4,75.0,8,6.74
12. Nuernberg,47,13.5,633,48.8,72.6,9.2,6.72
13. Eintracht Frankfurt,31,11.4,733,50.6,75.8,8.6,6.70
14. Borussia M.Gladbach,48,12.8,508,44.9,71.1,10.7,6.69
15. Hannover 96,49,10.9,545,25.5,67.3,7.6,6.67
16. FC Koln,47,11.5,791,45.6,71.0,6.7,6.65
17. Freiburg,41,10.7,463,47.5,70.9,6.6,6.64
18. St. Pauli,35,12.2,565,48.1,68.3,10.4,6.56
