R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,VfB Stuttgart,9%,48%,43%
2,Nuernberg,8%,48%,43%
3,St. Pauli,8%,49%,43%
4,Bayer Leverkusen,7%,50%,43%
5,Hamburger SV,7%,48%,45%
6,Kaiserslautern,7%,45%,47%
7,Freiburg,7%,51%,42%
8,Hannover 96,7%,44%,49%
9,Mainz 05,7%,46%,47%
10,Hoffenheim,7%,45%,49%
11,Schalke 04,6%,55%,39%
12,Werder Bremen,6%,50%,44%
13,Borussia Dortmund,6%,43%,51%
14,Eintracht Frankfurt,6%,52%,42%
15,Borussia M.Gladbach,6%,51%,43%
16,FC Koln,6%,51%,43%
17,Bayern Munich,5%,51%,44%
18,Wolfsburg,4%,43%,53%
