R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Wolfsburg,9%,58%,34%
2,Bayern Munich,9%,54%,37%
3,Eintracht Frankfurt,9%,51%,40%
4,Freiburg,9%,47%,43%
5,Hamburger SV,8%,54%,38%
6,Schalke 04,8%,59%,33%
7,FC Koln,8%,41%,51%
8,Mainz 05,7%,44%,49%
9,St. Pauli,7%,40%,53%
10,Hannover 96,7%,41%,52%
11,Bayer Leverkusen,6%,49%,45%
12,Werder Bremen,6%,47%,47%
13,VfB Stuttgart,6%,49%,45%
14,Kaiserslautern,5%,46%,49%
15,Borussia Dortmund,5%,54%,41%
16,Borussia M.Gladbach,4%,51%,45%
17,Hoffenheim,4%,39%,56%
18,Nuernberg,3%,46%,51%
