R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Borussia M.Gladbach,25,2,73,405
2,FC Koln,25,1,70,363
3,VfB Stuttgart,20,1,69,354
4,Kaiserslautern,19,2,68,352
5,Freiburg,25,1,77,350
6,Schalke 04,18,2,63,348
7,Wolfsburg,22,1,67,347
8,Hannover 96,20,2,73,346
9,St. Pauli,19,1,72,343
10,Eintracht Frankfurt,21,2,65,341
11,Nuernberg,19,2,68,327
12,Borussia Dortmund,16,1,69,325
13,Hoffenheim,22,2,69,325
14,Bayer Leverkusen,16,1,70,321
15,Mainz 05,21,1,70,318
16,Hamburger SV,19,2,64,315
17,Werder Bremen,19,2,72,314
18,Bayern Munich,15,1,57,277
