R,Team,Left Side,Middle of the pitch,Right Side
1,Hamburger SV,41%,24%,35%
2,Wolfsburg,40%,27%,33%
3,VfB Stuttgart,38%,26%,36%
4,FC Koln,38%,27%,34%
5,Nuernberg,37%,26%,38%
6,Werder Bremen,36%,26%,38%
7,Kaiserslautern,36%,28%,36%
8,Mainz 05,36%,27%,37%
9,Borussia M.Gladbach,35%,31%,34%
10,St. Pauli,35%,29%,36%
11,Bayern Munich,34%,30%,37%
12,Borussia Dortmund,34%,33%,33%
13,Hannover 96,34%,22%,44%
14,Hoffenheim,34%,28%,37%
15,Bayer Leverkusen,33%,30%,37%
16,Schalke 04,33%,26%,40%
17,Eintracht Frankfurt,33%,27%,40%
18,Freiburg,31%,29%,41%
