Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,15,5.4,1.4,8.2,7.04
2. Borussia Dortmund,16.9,6.3,0.9,9.9,7.01
3. Mainz 05,12.4,5.6,0.9,6,6.94
4. Bayer Leverkusen,14,5.9,0.9,7.3,6.91
5. Hamburger SV,12.5,4.6,1,6.9,6.85
6. VfB Stuttgart,13.7,5.8,0.9,7,6.85
7. Hoffenheim,14.1,7.4,0.6,6.1,6.82
8. Kaiserslautern,13.5,6.4,0.7,6.5,6.79
9. Werder Bremen,13.5,5.9,0.9,6.8,6.76
10. Schalke 04,11.5,3.6,0.9,7,6.75
11. Wolfsburg,11.9,3.8,1.1,7,6.74
12. Nuernberg,13.5,6.4,0.4,6.8,6.72
13. Eintracht Frankfurt,11.4,4.2,1,6.2,6.70
14. Borussia M.Gladbach,12.8,5.4,0.5,6.9,6.69
15. Hannover 96,10.9,5.3,0.8,4.8,6.67
16. FC Koln,11.5,5.2,0.9,5.4,6.65
17. Freiburg,10.7,4.1,1,5.6,6.64
18. St. Pauli,12.2,6.3,0.9,5.1,6.56
