R,Team,Fouls,Unprofessional,Dive,Other
1,Real Zaragoza,89,6,0,38
2,Hercules,75,5,2,23
3,Valencia,74,9,3,39
4,Getafe,73,3,1,43
5,Levante,72,9,0,48
6,Athletic Bilbao,71,4,0,39
7,Espanyol,71,3,0,42
8,Atletico Madrid,69,3,1,38
9,Osasuna,68,2,4,44
10,Sporting Gijon,66,9,3,40
11,Malaga,64,10,0,38
12,Almeria,64,5,0,38
13,Real Madrid,63,6,2,34
14,Villarreal,63,7,0,26
15,Racing Santander,61,7,0,29
16,Mallorca,60,3,0,30
17,Sevilla,60,11,1,39
18,Real Sociedad,59,2,0,19
19,Deportivo La Coruna,56,4,2,34
20,Barcelona,41,9,2,22
