Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,15.8,5.8,1.1,9,7.21
2. Real Madrid,19.1,7.9,1.3,9.9,7.20
3. Valencia,13.1,5,0.8,7.3,6.97
4. Villarreal,13.9,6.2,0.5,7.2,6.95
5. Atletico Madrid,15.1,6.9,0.8,7.4,6.89
6. Sevilla,13.8,5.2,0.8,7.9,6.85
7. Sporting Gijon,11.6,4.9,0.7,5.9,6.85
8. Real Zaragoza,14,7.2,0.5,6.3,6.85
9. Osasuna,12.7,5.4,0.9,6.4,6.85
10. Athletic Bilbao,13.4,5.2,1,7.3,6.84
11. Racing Santander,12.3,6.1,0.6,5.7,6.83
12. Mallorca,13,5.8,0.6,6.6,6.83
13. Malaga,11.8,4.9,0.9,6,6.83
14. Getafe,13.8,6.6,0.7,6.5,6.81
15. Real Sociedad,11.3,4.6,0.8,5.9,6.81
16. Deportivo La Coruna,11,5,0.6,5.4,6.78
17. Espanyol,12.3,5.7,0.5,6.1,6.75
18. Hercules,10.5,4.3,0.7,5.5,6.75
19. Levante,10.4,4.3,0.7,5.5,6.73
20. Almeria,12.2,5.1,0.9,6.2,6.72
