R,Team,Own Third,Middle Third,Opposition Third
1,Racing Santander,30%,46%,24%
2,Malaga,30%,45%,25%
3,Levante,30%,44%,26%
4,Almeria,30%,43%,27%
5,Deportivo La Coruna,29%,45%,27%
6,Real Sociedad,29%,42%,29%
7,Villarreal,29%,44%,27%
8,Hercules,29%,43%,27%
9,Getafe,29%,45%,26%
10,Espanyol,28%,47%,24%
11,Sevilla,28%,44%,28%
12,Sporting Gijon,28%,44%,28%
13,Mallorca,27%,45%,28%
14,Valencia,27%,43%,29%
15,Osasuna,27%,44%,30%
16,Real Zaragoza,27%,46%,27%
17,Atletico Madrid,27%,46%,28%
18,Athletic Bilbao,26%,43%,30%
19,Real Madrid,24%,45%,30%
20,Barcelona,20%,49%,31%
