R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Racing Santander,8%,52%,40%
2,Sevilla,8%,48%,44%
3,Almeria,8%,49%,43%
4,Mallorca,7%,55%,39%
5,Espanyol,7%,54%,40%
6,Osasuna,7%,51%,43%
7,Real Zaragoza,7%,49%,43%
8,Malaga,6%,47%,47%
9,Atletico Madrid,6%,49%,45%
10,Real Sociedad,6%,44%,50%
11,Villarreal,6%,47%,47%
12,Real Madrid,5%,52%,43%
13,Valencia,5%,54%,41%
14,Athletic Bilbao,5%,49%,46%
15,Deportivo La Coruna,5%,49%,47%
16,Getafe,5%,55%,40%
17,Levante,5%,45%,50%
18,Barcelona,4%,51%,45%
19,Sporting Gijon,4%,55%,41%
20,Hercules,4%,50%,45%
