Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,7.4,18.5,18.2,10.6,3.9,7.21
2. Real Madrid,10.2,22.4,21.8,14.2,3.8,7.20
3. Valencia,13.4,19.2,23.3,16,2.8,6.97
4. Villarreal,12,22.8,24.6,12.4,2.2,6.95
5. Atletico Madrid,13.6,21.7,22.2,14.8,2.5,6.89
6. Real Zaragoza,12,24.6,27.9,17.9,2.9,6.85
7. Sevilla,12.6,19.3,20.4,14.5,2.2,6.85
8. Osasuna,13.6,18.3,25.6,17.2,2.8,6.85
9. Sporting Gijon,11.8,22.9,25.2,16,2.9,6.85
10. Athletic Bilbao,12.6,20.6,24.1,16.5,3.3,6.84
11. Mallorca,12.5,19.7,24.2,14.2,3.1,6.83
12. Racing Santander,13.1,20,29.5,15.9,3.2,6.83
13. Malaga,15.2,20.8,25.9,14.3,2.2,6.83
14. Real Sociedad,16,21.3,24.6,14.3,2.8,6.81
15. Getafe,13.8,20.1,26.5,13.5,2.9,6.81
16. Deportivo La Coruna,13.2,20.2,26.5,13.1,2.2,6.78
17. Espanyol,13.3,19.8,21,14.4,3.2,6.75
18. Hercules,14.6,19.6,26.8,13.8,3.6,6.75
19. Levante,14.3,19,25.4,14.7,2.5,6.73
20. Almeria,15.7,22.7,22.4,14.9,3.2,6.72
