R,Team,Left Side,Middle of the pitch,Right Side
1,Atletico Madrid,39%,27%,33%
2,Sporting Gijon,39%,25%,36%
3,Real Madrid,37%,28%,35%
4,Racing Santander,37%,27%,36%
5,Malaga,37%,26%,38%
6,Espanyol,37%,26%,37%
7,Real Zaragoza,36%,30%,34%
8,Getafe,36%,25%,39%
9,Osasuna,35%,27%,38%
10,Sevilla,35%,27%,39%
11,Valencia,34%,24%,42%
12,Villarreal,34%,30%,36%
13,Hercules,34%,23%,44%
14,Almeria,34%,29%,37%
15,Mallorca,33%,28%,39%
16,Athletic Bilbao,33%,31%,37%
17,Barcelona,32%,33%,35%
18,Levante,32%,27%,41%
19,Real Sociedad,31%,25%,43%
20,Deportivo La Coruna,29%,26%,45%
